revision_id,revision_timestamp,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27
8822,3/16/04 9:29,,,"Current optimal treatment options consist of combinations (""cocktails"") of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor. Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,"Regardless of the presence or absence of initial symptoms, all newly infected individuals become asymptomatic (symptom-free). The newly infected patient is actually most infectious during the seroconversion illness as it is during this time that the HIV viral load in the body is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the HIV virus in sufficient quantities to reach an equilibrium.",,,,,,,,,,,,,,,,,,,,,,
8817,3/23/04 9:03,,,,,"Regardless of the presence or absence of initial symptoms, all newly infected individuals become asymptomatic (symptom-free). The newly infected patient is actually most infectious during the seroconversion illness as it is during this time that the HIV viral load in the body is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus in sufficient quantities to reach an equilibrium.",,,,,,,,,,,,,,,,,,,,,,
8754,4/27/04 22:20,,,,,"Regardless of the presence or absence of initial symptoms, all newly infected individuals become asymptomatic (symptom-free). The newly infected patient is actually most infectious during the seroconversion illness as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus in sufficient quantities to reach an equilibrium.",,,,,,,,,,,,,,,,,,,,,,
8747,5/5/04 10:19,,,"Current optimal treatment options consist of combinations (""cocktails"") of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor. Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,,,,,,,,,,,,,,,,,,,,,,,
8736,5/30/04 11:21,,,"Current optimal treatment options consist of combinations (""cocktails"") of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor. Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,"Regardless of the presence or absence of initial symptoms, all newly infected individuals become asymptomatic (symptom-free). The newly infected patient is actually most infectious during the seroconversion illness as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus in sufficient quantities to reach an equilibrium.",,,,,,,,,,,,,,,,,,,,,,
8727,6/23/04 15:44,,,"Current optimal treatment options consist of combinations (""cocktails"") of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor. Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,"Regardless of the presence or absence of initial symptoms, all newly infected individuals become asymptomatic (symptom-free). The newly infected patient is actually most infectious during the seroconversion illness as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus in sufficient quantities to reach an equilibrium.",,,,,,,,,,,,,,,,,,,,,,
8584,11/17/04 20:01,,,"Current optimal treatment options consist of combinations (""cocktails"") of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor or a non nucleosider reverse transcriptase inhibitor (NNRTI). Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,"Regardless of the presence or absence of initial symptoms, all newly infected individuals become asymptomatic (symptom-free). The newly infected patient is actually most infectious during the seroconversion illness as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus in sufficient quantities to reach an equilibrium.",,,,,,,,,,,,,,,,,,,,,,
8526,12/10/04 22:02,,,"Current optimal treatment options consist of combinations (""cocktails"") of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor or a non nucleoside reverse transcriptase inhibitor (NNRTI). Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,,,,,,,,,,,,,,,,,,,,,,,
8521,12/16/04 10:29,,,"Current optimal treatment options consist of combinations (""cocktails"""") of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor or a non nucleoside reverse transcriptase inhibitor (NNRTI). Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,,,,,,,,,,,,,,,,,,,,,,,
8466,2/1/05 14:38,,,"Current optimal treatment options consist of combinations of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor or a non nucleoside reverse transcriptase inhibitor (NNRTI). Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,,,,,,,,,,,,,,,,,,,,,,,
8402,3/22/05 18:53,,,"Current optimal treatment options consist of combinations (""cocktails"") of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor or a non nucleoside reverse transcriptase inhibitor (NNRTI). Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,"Regardless of the presence or absence of initial symptoms, nearly all newly-infected individuals become asymptomatic (symptom-free). The newly infected patient is actually most infectious during the seroconversion illness as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus in sufficient quantities to reach an equilibrium.",,,,,,,,,,,,,,,,,,,,,,
8389,3/24/05 2:25,,,,,"Regardless of the presence or absence of initial symptoms, nearly all newly-infected individuals become asymptomatic (symptom-free). The newly infected patient is actually most infectious during the seroconversion illness as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus.",,,,,,,,,,,,,,,,,,,,,,
8358,3/30/05 17:15,,,,,"Regardless of the presence or absence of initial symptoms, nearly all newly-infected individuals become asymptomatic (symptom-free). The newly infected patient is actually most infectious during the seroconversion illness as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus in sufficient quantities to reach an equilibrium.","The current guidelines for antiretroviral therapy from the World Health Organization reflect the 2004 changes to the guidleines to defer retroviral treatment in patients with no symptoms who have a CD4 cell count above 350 and viral load under 100,000.",,,,,,,,,,,,,,,,,,,,,
8350,3/31/05 1:53,,,,,,"The current guidelines for antiretroviral therapy from the World Health Organization reflect the changes to the guidleines to defer retroviral treatment in patients with no symptoms who have a CD4 cell count above 350 and viral load under 100,000.",,,,,,,,,,,,,,,,,,,,,
8303,4/12/05 16:11,,,,,,,"The newly infected person may be high;y infectious as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus.",,,,,,,,,,,,,,,,,,,,
8300,4/13/05 12:00,,,,,,,"The newly infected person may be highly infectious as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus.",,,,,,,,,,,,,,,,,,,,
8261,4/23/05 10:21,,,,,,"The current guidelines for antiretroviral therapy from the World Health Organization reflect the changes to the guidelines to defer retroviral treatment in patients with no symptoms who have a CD4 cell count above 350 and viral load under 100,000.","A newly infected person may be highly infectious as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus.",,,,,,,,,,,,,,,,,,,,
8191,5/16/05 15:07,,,,,,"The current guidelines for antiretroviral therapy from the World Health Organization reflect the changes to the guidelines to defer retroviral treatment in patients with no AIDS defining illnesses who have a CD4 cell count above 350 and viral load under 100,000.",,,,,,,,,,,,,,,,,,,,,
7926,6/15/05 20:30,,,"Current optimal treatment options consist of combinations (""cocktails"") of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor or a non nucleoside reverse transcriptase inhibitor (NNRTI). Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase.",,,,"A newly infected person may be highly infectious as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus.",,,,,,,,,,,,,,,,,,,,
7923,6/15/05 20:35,,,,,,"The current guidelines for antiretroviral therapy from the World Health Organization recommend that antiretroviral therapy should start when a patient's CD4 count drops below 200/mm3, or an AIDS defining illness is diagnosed. The HIV/AIDS Bureau (HAB) of the U.S. Health Resources and Services Administration states that antiretroviral therapy should begin when the CD4 cell count is between 200 and 350/mm3. HAB recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment.",,,,,,,,,,,,,,,,,,,,,
7901,6/16/05 16:03,,,"Current optimal treatment options consist of combinations (""cocktails"") of two or more types of anti-retroviral agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor or a non nucleoside reverse transcriptase inhibitor (NNRTI).  Patients on such treatments have been known to repeatedly test ""undetectable"" (that is, negative) for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase.",,,"The current guidelines for antiretroviral therapy from the World Health Organization recommend that antiretroviral therapy should start when a patient's CD4 count drops below 200/mm3, or an AIDS defining illness is diagnosed. The HIV/AIDS Bureau (HAB) of the U.S. Health Resources and Services Administration states that antiretroviral therapy should begin when the CD4 cell count is between 200 and 350/mm3. HAB recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment. ","A newly infected person may be highly infectious as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus.","There is currently no cure or vaccine for HIV or AIDS. Newer treatments, however, have played a part in delaying the onset of AIDS, on reducing the symptoms, and extending patients' life spans. Over the past decade the success of these anti-retroviral treatments in prolonging, and improving, the quality of life for people with AIDS has improved dramatically. Doctors prescribe these treatments because they have been shown to be effective at reducing viral load and delaying the onset of AIDS in clinical studies. Anti-retroviral treatment has been shown in studies to be effective in delaying the onset of AIDS, reducing the symptoms, and extending patients' life spans.",,,,,,,,,,,,,,,,,,,
7874,6/17/05 18:14,,,,,,"The current guidelines for antiretroviral therapy from the World Health Organization recommend that anti-etroviral therapy should start when a patient's CD4 count drops below 200/mm3, or an AIDS defining illness is diagnosed. The HIV/AIDS Bureau (HAB) of the U.S. Health Resources and Services Administration states that antiretroviral therapy should begin when the CD4 cell count is between 200 and 350/mm3. HAB recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment.","A newly infected person may be highly infectious as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus.",,,,,,,,,,,,,,,,,,,,
7873,6/17/05 18:15,,,,,,"The current guidelines for anti-retroviral therapy from the World Health Organization recommend that anti-retroviral therapy should start when a patient's CD4 count drops below 200/mm3, or an AIDS defining illness is diagnosed. The HIV/AIDS Bureau (HAB) of the U.S. Health Resources and Services Administration states that anti-retroviral therapy should begin when the CD4 cell count is between 200 and 350/mm3. HAB recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment.",,,,,,,,,,,,,,,,,,,,,
7811,6/20/05 18:00,,,,,,,"A newly infected person may be highly infectious as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus.",,"Chances of HIV transmission from infected male to female vaginal sex are low - under normal conditions, only about 1 in 1,000 results in infection according to the CDC estimates in the United States. Transmission of virus from females to males is only about half as likely, 1 in 10,000, though still possible. Note that these CDC estimates are averages, and actual odds of transmission of HIV via a single sexual act can be affected by other factors, such as the viral load of the infected partner or the presence of abrasions or sores on the genitals of either of the sexual partners.",,,,,,,,,,,,,,,,,,
7796,6/20/05 22:40,,,,,,"The current guidelines for anti-retroviral therapy from the World Health Organization recommend that anti-retroviral therapy should start when a patient's CD4 count drops below 200/mm3, or an AIDS defining illness is diagnosed. The HIV/AIDS Bureau (HAB) of the U.S. Health Resources and Services Administration states that anti-retroviral therapy should begin when the CD4 cell count is between 200 and 350/mm3. HAB recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment.","A newly infected person may be highly infectious as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus.",,"Chances of HIV transmission from infected male to female vaginal sex are low - under normal conditions, only about 10 in 10,000 results in infection according to the CDC estimates in the United States. Transmission of virus from females to males is only about half as likely, 5 in 10,000, though still possible. Note that these CDC estimates are averages, and actual odds of transmission of HIV via a single sexual act can be affected by other factors, such as the viral load of the infected partner or the presence of abrasions or sores on the genitals of either of the sexual partners.",,,,,,,,,,,,,,,,,,
7614,7/21/05 1:07,,,,,,"The current guidelines for anti-retroviral therapy from the World Health Organization recommend that anti-retroviral therapy should start when a patient's CD4 count drops below 200/mm3, or an AIDS defining illness is diagnosed. The Department of Health and Human Services (DHHS), the federal agency responsible for overseeing HIV/AIDS healthcare policies in the United States, recommends that anti-retroviral therapy be started when the CD4 cell count is between 200 and 350/mm3. DHHS recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment. ","A newly infected person may be highly infectious as it is during this time that the HIV viral load in the blood plasma is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the virus.",,"Chances of HIV transmission from infected male to female vaginal sex are low - under normal conditions, only about 10 in 10,000 results in infection according to the CDC estimates in the United States. Transmission of virus from females to males is only about half as likely, 5 in 10,000, though still possible. Note that these CDC estimates are averages, and actual odds of transmission of HIV via a single sexual act can be affected by other factors, such as the viral load of the infected partner or the presence of abrasions or sores on the genitals of either of the sexual partners.",,,,,,,,,,,,,,,,,,
7613,7/21/05 1:16,,,,,,"The current guidelines for anti-retroviral therapy from the World Health Organization recommend that anti-retroviral therapy should start when a patient's CD4 count drops below 200/mm3, or an AIDS defining illness is diagnosed. The Department of Health and Human Services (DHHS), the federal agency responsible for overseeing HIV/AIDS healthcare policies in the United States, recommends that anti-retroviral therapy be started when the CD4 cell count is between 200 and 350/mm3. DHHS recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment. ",,,,,,,,,,,,,,,,,,,,,
7566,7/22/05 16:21,,,,,,"The current guidelines for anti-retroviral therapy from the World Health Organization recommend that anti-retroviral therapy should start when a patient's CD4 count drops below 200/mm3, or an AIDS defining illness is diagnosed. The Department of Health and Human Services (DHHS), the federal agency responsible for overseeing HIV/AIDS healthcare policies in the United States, recommends that anti-retroviral therapy be started when the CD4 cell count is between 200 and 350/mm3. DHHS recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment. ",,,,"Some epidemiological models suggest that over half of HIV transmission occurs in the weeks following primary HIV infection before antibodies to the virus are produced. A newly infected person may be highly infectious as it is during this time that the HIV viral load in the blood plasma is highest. CDC reported a cluster of HIV infection in (31%) of 42 women, who had vaginal sex with an HIV infected man in upstate New York between February 1996 and January 1997.",,,,,,,,,,,,,,,,,
7548,7/22/05 19:05,,,,,,,,,"Chances of HIV transmission from infected male to female vaginal sex are low - under normal conditions, only about 10 in 10,000 results in infection according to the CDC estimates in the United States. Transmission of virus from females to males is only about half as likely, 5 in 10,000, though still possible. Note that these CDC estimates are averages, and actual odds of transmission of HIV via a single sexual act can be affected by other factors, such as the viral load of the infected partner or the presence of abrasions or sores on the genitals of either of the sexual partners.",,,,,,,,,,,,,,,,,,
7503,7/24/05 14:14,,,,,,"The current guidelines for anti-retroviral therapy from the World Health Organization recommend that anti-retroviral therapy should start when a patient's CD4 count drops below 200/mm3, or an AIDS defining illness is diagnosed. The Department of Health and Human Services (DHHS), the federal agency responsible for overseeing HIV/AIDS healthcare policies in the United States, recommends that anti-retroviral therapy be started when the CD4 cell count is between 200 and 350/mm3. DHHS recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment. ",,,"Chances of HIV transmission from infected male to female vaginal sex are low - under normal conditions, only about 10 in 10,000 results in infection according to the CDC estimates in the United States. Transmission of virus from females to males is only about half as likely, 5 in 10,000, though still possible. Note that these CDC estimates are averages, and actual odds of transmission of HIV via a single sexual act can be affected by other factors, such as the viral load of the infected partner or the presence of abrasions or sores on the genitals of either of the sexual partners.",,"""Individual risk of acquiring HIV and experiencing rapid disease progression is not uniform within populations"". NIH press release Some epidemiological models suggest that over half of HIV transmission occurs in the weeks following primary HIV infection before antibodies to the virus are produced. Investigators have shown that viral loads are highest in semen and blood in the weeks before antibodies develop and estimated that the likelihood of sexual transmission from a given man to a given woman would be increased about 20-fold during Primary HIV infection as compared with the same couple having the same sex act 4 months later. Most people who are infected typically suffer from days to weeks of fever with or without muscle and joint aches, fatigue, headache, sore throat, swollen glands and sometimes rash. This ""acute retroviral syndrome"" is rarely diagnosed since it is absolutely indistinguishable in most cases from infectious mononucleosis or other very common ailments.",,,,,,,,,,,,,,,,
7501,7/24/05 14:45,,,,,,,,,,,"""Individual risk of acquiring HIV and experiencing rapid disease progression is not uniform within populations"". NIH press release Some epidemiological models suggest that over half of HIV transmission occurs in the weeks following primary HIV infection before antibodies to the virus are produced. Investigators have shown that viral loads are highest in semen and blood in the weeks before antibodies develop and estimated that the likelihood of sexual transmission from a given man to a given woman would be increased about 20-fold during Primary HIV infection as compared with the same couple having the same sex act 4 months later. Most people who are infected typically suffer from days to weeks of fever with or without muscle and joint aches, fatigue, headache, sore throat, swollen glands and sometimes rash. This ""acute retroviral syndrome"" is rarely diagnosed because it is difficult to distinguish from other very common ailments.",,,,,,,,,,,,,,,,
7486,7/24/05 22:02,,,,,,"The current guidelines for anti-retroviral therapy from the World Health Organization recommend that anti-retroviral therapy should start when a patient's CD4 count drops below 200/mm³, or an AIDS defining illness is diagnosed. The Department of Health and Human Services (DHHS), the federal agency responsible for overseeing HIV/AIDS healthcare policies in the United States, recommends that anti-retroviral therapy be started when the CD4 cell count is between 200 and 350/mm³. DHHS recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment.",,,,,"""Individual risk of acquiring HIV and experiencing rapid disease progression is not uniform within populations"". NIH press release Some epidemiological models suggest that over half of HIV transmission occurs in the weeks following primary HIV infection before antibodies to the virus are produced. Investigators have shown that viral loads are highest in semen and blood in the weeks before antibodies develop and estimated that the likelihood of sexual transmission from a given man to a given woman would be increased about 20-fold during primary HIV infection as compared with the same couple having the same sex act 4 months later. Most people who are infected typically suffer from days to weeks of fever with or without muscle and joint aches, fatigue, headache, sore throat, swollen glands and sometimes rash. This ""acute retroviral syndrome"" is rarely diagnosed because it is difficult to distinguish from other very common ailments.",,,,,,,,,,,,,,,,
7320,8/15/05 16:14,,,,,,,,,,,,"The Department of Health and Human Services (DHHS), the federal agency responsible for overseeing HIV/AIDS healthcare policies in the United States, recommends that anti-retroviral therapy be started when the CD4 cell count is between 200 and 350/mm³. DHHS recommends that doctors should assess the viral load, rapidity in CD4 decline, and patient readiness while deciding when to begin treatment.",,,,,,,,,,,,,,,
