revision_id,revision_timestamp,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37
8766,6 Apr 2004 07:21,"Gay men were frequently blamed for the advent and spread of AIDS in the west. Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Islamic). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers in America were gay men, but this is in part due to the fact that birth control was unnecessary with same-sex partners so gay men were unlikely to use condoms, now considered one of the best ways to prevent the spread of HIV.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8738,25 May 2004 15:40,"Gay men were frequently blamed for the advent and spread of AIDS in the west. Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Islamic). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, but this is in part due to the fact that birth control was unnecessary with same-sex partners so gay men were unlikely to use condoms, now considered one of the best ways (other than abstinence) to prevent the spread of HIV.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8736,30 May 2004 11:21,"Gay men were frequently blamed for the advent and spread of AIDS in the west. Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Islamic). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, but this is in part due to the fact that birth control was unnecessary with same-sex partners so gay men were unlikely to use condoms, now considered one of the best ways (other than abstinence) to prevent the spread of HIV.",,"There have been claims that a small number of people have been infected with HIV from performing oral sex on an infected partner, but these claims are disputed in the scientific community and have yet to be proven conclusively. Oral sex is considered a very low risk activity, since it has been shown that both saliva and stomach acid have antiviral properties which kill HIV. Nevertheless, it is usually recommended not to take semen into the mouth. The use of condoms (or dental dams for cunnilingus) further reduces the potential risk.","HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. The use of latex condoms is recommended for all penetrative sexual activity. Condoms are not 100% effective against pregnancy or disease transmission, but if used correctly they are the best means of protection against the sexual transmission of HIV. It has been repeatedly shown that HIV cannot pass through latex condoms.","Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered the highest-risk sexual activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing (both of the condom and of skin and mucous membranes), the use of water-based lubricants is recommended. Oil-based lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8727,23 Jun 2004 15:44,"Gay men were frequently blamed for the advent and spread of AIDS in the West. Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Islamic). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, but this is in part due to the fact that birth control was unnecessary with same-sex partners so gay men were unlikely to use condoms, now considered one of the best ways (other than abstinence) to prevent the spread of HIV.",,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. The use of latex condoms is recommended for all penetrative sexual activity. Condoms are not 100% effective against pregnancy or disease transmission, but if used correctly they are the best means of protection against the sexual transmission of HIV. It has been repeatedly shown that HIV cannot pass through latex condoms.","Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered the highest-risk sexual activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing (both of the condom and of skin and mucous membranes), the use of water-based lubricants is recommended. Oil-based lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8724,28 Jun 2004 05:20,"Gay men were frequently blamed for the advent and spread of AIDS in the West. Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Islamic). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, but this is in part due to the fact that birth control was unnecessary with same-sex partners so gay men were unlikely to use condoms, now considered one of the best ways (other than abstinence) to prevent the spread of HIV.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8693,4 Aug 2004 14:48,"Gay men were frequently blamed for the advent and spread of AIDS in the West. (See also AIDS in the United States.) Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Islamic). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, but this is in part due to the fact that birth control was unnecessary with same-sex partners so gay men were unlikely to use condoms, now considered one of the best ways (other than abstinence) to prevent the spread of HIV.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8631,12 Oct 2004 14:11,,,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. The use of latex condoms is recommended for all penetrative sexual activity. Condoms are not 100% effective against pregnancy or disease transmission -- they can tear or come off in rare cases --, but if used correctly they are the best means of protection against the sexual transmission of HIV. It has been repeatedly shown that HIV cannot pass through latex condoms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8630,12 Oct 2004 14:14,,,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. The use of latex condoms is recommended for all penetrative sexual activity. Condoms are not 100% effective against pregnancy or disease transmission -- they can tear or come off in rare cases --, but if used correctly they are the best means of protection against the sexual transmission of HIV. It has been repeatedly shown that HIV cannot pass through latex condoms. All major brand condoms are electrically tested during production to ensure they have no microscopic holes. However packaged condoms do not last indefinitely, old condoms have a higher risk of tearing, thus they should not be used after the date given on the package.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8621,18 Oct 2004 07:22,,,,,,It is usually recommended not to take semen or preseminal fluid into the mouth. The use of condoms for oral sex (or dental dams for cunnilingus) further reduces the potential risk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8620,18 Oct 2004 07:39,,,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. The use of latex condoms is recommended for all penetrative sexual activity. Condoms are not 100% effective against pregnancy or disease transmission, but if used correctly they are the best means of protection against the sexual transmission of HIV. It has been repeatedly shown that HIV cannot pass through latex condoms. All major brand condoms are electrically tested during production to ensure they have no microscopic holes. However packaged condoms do not last indefinitely, old condoms have a higher risk of tearing, thus they should not be used after the date given on the package.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8590,13 Nov 2004 22:33,,,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. Condoms offer effective, but not infallible, protection against most serious sexually transmitted infections by preventing the exchange of body fluids (Cates & Stone, 1992; CDC, 1998; Stone et al., 1999). It has been repeatedly shown that HIV cannot pass through latex condoms. All major brand condoms are electrically tested during production to ensure they have no microscopic holes. However packaged condoms do not last indefinitely, old condoms have a higher risk of tearing, thus they should not be used after the date given on the package.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8588,13 Nov 2004 23:06,,,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. ""Health experts around the world urge people to use condoms to protect themselves from HIV and a host of sexually transmitted infections."" http://news.bbc.co.uk/1/hi/health/3176982.stm Although condoms are not 100% effective against pregnancy or disease transmission, it has been repeatedly shown that HIV cannot pass through latex condoms. All major brand condoms are electrically tested during production to ensure they have no microscopic holes. However packaged condoms do not last indefinitely, old condoms have a higher risk of tearing, thus they should not be used after the date given on the package.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8577,23 Nov 2004 01:39,"Gay men were frequently blamed for the advent and spread of AIDS in the West. (See also AIDS in the United States.) Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Muslim). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, but this is in part due to the fact that birth control was unnecessary with same-sex partners so gay men were unlikely to use condoms, now considered one of the best ways (other than abstinence) to prevent the spread of HIV.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8535,5 Dec 2004 14:34,,,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. ""Health experts around the world urge people to use condoms to protect themselves from HIV and a host of sexually transmitted infections."" http://news.bbc.co.uk/1/hi/health/3176982.stm. Although condoms are not 100% effective against pregnancy or disease transmission, it has been repeatedly shown that HIV cannot pass through latex condoms. All major brand condoms are electrically tested during production to ensure they have no microscopic holes. However packaged condoms do not last indefinitely, old condoms have a higher risk of tearing, thus they should not be used after the date given on the package.","Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered the highest-risk sexual activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing (both of the condom and of skin and mucous membranes), the use of water-based lubricants is recommended. Oil-based lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",It is usually recommended not to take semen or preseminal fluid into the mouth. The use of condoms for oral sex (or dental dams for cunnilingus) further reduces the potential risk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8511,25 Dec 2004 15:21,,,,,"Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered the highest-risk sexual activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing (both of the condom and of skin and mucous membranes), the use of water-based lubricants is recommended. Oil-based sexual lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8442,15 Feb 2005 01:13,,,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. ""Health experts around the world urge people to use condoms to protect themselves from HIV and a host of sexually transmitted infections."" http://news.bbc.co.uk/1/hi/health/3176982.stm. Although condoms are not 100% effective against pregnancy or disease transmission, it has been repeatedly shown that HIV cannot pass through intact latex condoms. All major brand condoms are electrically tested during production to ensure they have no microscopic holes. However, as packaged condoms do not last indefinitely and old condoms have a higher risk of tearing, they should not be used after the date given on the package.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8430,24 Feb 2005 03:27,,,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. ""Health experts around the world urge people to use condoms to protect themselves from HIV and a host of sexually transmitted infections."" http://news.bbc.co.uk/1/hi/health/3176982.stm. Although condoms are not 100% effective against pregnancy or disease transmission, it has been repeatedly shown that HIV cannot pass through latex condoms. All major brand condoms are electrically tested during production to ensure they have no microscopic holes. However packaged condoms do not last indefinitely, old condoms have a higher risk of tearing, thus they should not be used after the date given on the package.","Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered the highest-risk sexual activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once and then be disposed of. Because of the risk of tearing (both of the condom and of skin and mucous membranes), the use of water-based lubricants is recommended. Oil-based sexual lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8354,31 Mar 2005 01:31,,,,,,,"Safer sex guidelines aim to reduce the sexual transmission of HIV and include using condoms for penetrative sex with a person, who may be infected with HIV. Abstaining from sex is also advocated by some groups.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8348,31 Mar 2005 02:33,,,,,,,"Safer sex guidelines aim to reduce the sexual transmission of HIV and include using condoms for penetrative sex with a person, who may be infected with HIV.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8347,31 Mar 2005 02:39,,,,,,,"Safer sex guidelines aim to reduce the sexual transmission of HIV and include using condoms for penetrative sex with a person, who may be infected with HIV.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8331,31 Mar 2005 12:47,,,,,,,"Safer sex guidelines were developed to reduce the risk of HIV transmisson during sex with a partner who may be indected with HIV. Anal sex is considered the highest-risk sexual activity, but condoms are also recommended for vaginal sex and oral sex. Condoms should be used once and then be disposed of. Because of the risk of tearing (both of the condom and of skin and mucous membranes), the use of water-based lubricants is recommended. Oil-based sexual lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8291,15 Apr 2005 22:07,"AIDS was first noticed in 1978 among men who had sex with men but widespread knowledge about the disease was not available until the 1980s. By the 1990s the syndrome had become a global pandemic and in 2004, 58 percent of those with AIDS were women. While men who have sex with men and those of African descent have higher per capita AIDS rates, the majority are currently heterosexual women and men, and children in developing countries. Those who have sex without condoms, especially anal intercourse, or do injection drug use are at the highest risk of transmission",,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. ""Health experts around the world urge people to use condoms to protect themselves from HIV and a host of sexually transmitted infections."" http://news.bbc.co.uk/1/hi/health/3176982.stm. Although condoms are not 100% effective against pregnancy or disease transmission, it has been repeatedly shown that HIV cannot pass through latex condoms. All major brand condoms are electrically tested during production to ensure they have no microscopic holes. However packaged condoms do not last indefinitely, old condoms have a higher risk of tearing, thus they should not be used after the date given on the package.","Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered the highest-risk sexual activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once and then be disposed of. Because of the risk of tearing (both of the condom and of skin and mucous membranes), the use of water-based lubricants is recommended. Oil-based sexual lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",It is usually recommended not to take semen or preseminal fluid into the mouth. The use of condoms for oral sex (or dental dams for cunnilingus) further reduces the potential risk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8269,22 Apr 2005 23:37,"AIDS was first noticed in 1978 among men who had sex with men but widespread knowledge about the disease was not available until the 1980s. By the 1990s the syndrome had become a global pandemic and in 2004, 58 percent of those with AIDS were women. While men who have sex with men and those of African descent have higher per capital AIDS rates, the majority are currently heterosexual women and men, and children in developing countries. Those who have sex without condoms, especially anal intercourse, or do injection drug use are at the highest risk of transmission",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8266,23 Apr 2005 09:46,"AIDS was first noticed in 1978 among men who had sex with men but widespread knowledge about the disease was not available until the 1980s. By the 1990s the syndrome had become a global pandemic and in 2004, 58 percent of those with AIDS were women. While men who have sex with men and those of African descent have higher per capita AIDS rates, the majority are currently heterosexual women and men, and children in developing countries. Those who have sex without condoms, especially anal intercourse, or do injection drug use are at the highest risk of transmission",,,"HIV transmission via sexual activity has been recorded for male to male, male to female, female to female and female to male contacts. ""Health experts around the world urge males to use condoms to protect themselves from HIV and a host of sexually transmitted infections."" http://news.bbc.co.uk/1/hi/health/3176982.stm. Although condoms are not completely guaranteed to prevent pregnancy or sexually transmitted disease(STD)), it has been repeatedly verified that HIV transmission during intercourse is preventable by the use of latex class condoms. Major brand condom manufacturers subject their product to undergo electrical-level testing to ensure the quality of interventing any forms of bodily fluid transmissions on the microscopic levels. Despite the orderly way condoms come packaged, the quality of condoms at the time of their manufacturing date does not last indefinitely; aging condom packages that have never been opened cannot promise that their contents are not subject to higher risk of microscopic tearing.","Anal sex, by nature of the delicacies of the anal tissue tearing(Wikipedia anus), has been placed as the most harborable form of sexual activity for transmitting the virus despite the use of condoms; but condoms are recommended for vaginal sex as well. The risk of condoms tearing suggests the use of water-based lubricants for sexual activity. Oil-based sexual lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,23 Apr 2005 10:21,"HIV transmission via sexual activity has been recorded for male to male, male to female, female to female and female to male contacts. ""Health experts around the world urge males to use condoms to protect themselves from HIV and a host of sexually transmitted infections."" http://news.bbc.co.uk/1/hi/health/3176982.stm. Although condoms are not completely guaranteed to prevent pregnancy or sexually transmitted disease(STD)), it has been repeatedly verified that HIV transmission during intercourse is preventable by the use of latex condoms. Major brand condom manufacturers subject their product to electrical-level testing to ensure they will prevent bodily fluid transmission on the microscopic level. Despite the orderly way condoms come packaged, the quality of condoms at the time of their manufacturing date does not last indefinitely; aging condom packages that have never been opened cannot promise that their contents are not subject to higher risk of microscopic tearing.",,,,"Anal sex, perhaps because of the risk of anal tissue tearing, is the riskiest form of sexual activity for transmitting the virus despite the use of condoms; and condoms are recommended for vaginal sex as well. Water-based lubricants reduce the risk of the condom tearing during sexual activity. Oil-based sexual lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",,,"Oral sex carries less risk HIV transmission than does genital and anal sex. Although the actual risk factor of oral HIV transmission is unknown, there are documented cases of HIV transmission through both insertive and receptive (male) oral sex. One study concluded that 7.8% of recently infected men in San Francisco were probably infected through oral sex. However, a study of Spanish men who knowingly engaged in oral sex with HIV+ partners identified no cases of oral transmission. Part of the reason for such apparently conflicting evidence is that identifying oral transmission cases is problematic. Most HIV+ persons engaged in other types of sexual activity prior to infection, thus making it difficult or impossible to isolate oral transmission. Factors such as mouth sores, etc., are also difficult to decouple from transmission between ""healthy"" persons. It is usually recommended not to take semen or preseminal fluid into the mouth. The use of condoms for oral sex (or dental dams for cunnilingus) further reduces the potential risk.","The Catholic Church promotes abstinence outside of marriage, and lifelong monogamy. http://www.catholicculture.org/docs/doc_view.cfm?recnum=2946 It also teaches that the use of condoms is in itself a sin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8256,23 Apr 2005 12:06,,,,,,,,"Oral sex carries less risk HIV transmission than does genital and anal sex. Although the actual risk factor of oral HIV transmission is unknown, there are documented cases of HIV transmission through both insertive and receptive (male) oral sex. One study concluded that 7.8% of recently infected men in San Francisco were probably infected through oral sex. However, a study of Spanish men who knowingly engaged in oral sex with HIV+ partners identified no cases of oral transmission. Part of the reason for such apparently conflicting evidence is that identifying oral transmission cases is problematic. Most HIV+ persons engaged in other types of sexual activity prior to infection, thus making it difficult or impossible to isolate oral transmission. Factors such as mouth sores, etc., are also difficult to decouple from transmission between ""healthy"" persons. It is usually recommended not to take semen or preseminal fluid into the mouth. The use of condoms for oral sex (or dental dams for cunnilingus) further reduces the potential risk.","The Catholic Church promotes abstinence outside of marriage, and lifelong monogamy. http://www.catholicculture.org/docs/doc_view.cfm?recnum=2946 It also teaches that the use of condoms is in itself a sin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
